#OpenSSPAPI Version 18.09.003
#Email: matthew.r.lammers@nasa.gov
#Session ID: SID2019-05-20T19:32:31.607Z
 Query Number: 1
#Request String: OpenSSPAPI?email=matthew.r.lammers@nasa.gov&size=all/all&dsubm=2&bs=0.1&bunit=millimeters&mu=2.21&aval=0.00536&bval=2.26&diff=10&frequency=023.816GHz
Frequency[GHz]	Wvlngth[um]	Size[mm]	D_max[um]	rho_D_max[g/cm^3]	Q_bk	Q_ext	Q_sca	Q_abs	g	Volume[um^3]	Prj_Area[um^2]	Sfc_Area[um^2]	r_eq_vol[um]	r_eq_prj[um]	r_eq_sfc[um]	L_lx[um]	L_ly[um]	L_lz[um]	rho_elps[g/cm^3]	d_fractal	bin_count
023.816	99931.0	1.100000-1.200000	4495.0357	0.0168	3.7362E-4	0.0048	0.0043	5.2515E-4	0.1064	867957717.6471	1222694.2367	30246250.0000	591.4556	564.8507	1545.2419	347.5833	2458.8569	2789.2225	0.2629	2.7669	35.12057463056017
023.816	99931.0	1.200000-1.300000	4959.3568	0.0157	4.6257E-4	0.0060	0.0054	5.4574E-4	0.1168	1095226355.8919	1829010.8716	33543918.9189	639.2179	689.2952	1631.8690	904.9796	2711.9086	3213.1660	0.2823	2.5417	32.16200124218634
023.816	99931.0	1.300000-1.400000	5561.6446	0.0147	6.1916E-4	0.0085	0.0079	6.3793E-4	0.1448	1438630804.8372	1110476.9935	39066860.4651	699.9902	555.7219	1761.9505	321.8103	3183.3155	3312.7696	0.3410	2.8863	29.036939197444433
023.816	99931.0	1.400000-1.500000	6004.6507	0.0140	7.1408E-4	0.0097	0.0091	6.3753E-4	0.1499	1725554481.2308	4677636.9744	54962307.6923	743.8415	1101.7759	2071.4296	1331.7768	3257.2502	3975.0229	0.1145	2.4304	25.898108562758598
023.816	99931.0	1.500000-1.600000	6688.8019	0.0124	8.3932E-4	0.0125	0.0118	7.2409E-4	0.1800	2100749994.6667	1496579.3333	57424047.6190	794.2752	679.6640	2136.2012	246.7250	4183.7844	4328.3928	0.1912	2.8543	22.85604068158434
023.816	99931.0	1.600000-1.700000	7071.2829	0.0124	9.7682E-4	0.0145	0.0138	7.2455E-4	0.1866	2503548081.2308	6256714.6923	74813846.1538	842.1176	1361.1482	2431.2915	1824.5227	4077.8918	4887.2398	0.0298	2.1043	19.98588669484863
023.816	99931.0	1.700000-1.800000	7924.2573	0.0111	7.8773E-4	0.0153	0.0145	7.4890E-4	0.2758	3140139431.3846	14588885.5000	129241538.4615	908.1895	2129.3548	3196.4110	3651.1857	4255.0392	4920.4638	0.0111	1.8860	17.334354856982888
023.816	99931.0	1.800000-1.900000	8437.6317	0.0104	0.0012	0.0197	0.0190	7.7314E-4	0.2235	3564532423.1111	10789630.3333	108841296.8889	947.4260	1836.8104	2935.2975	3460.6095	4372.0025	5815.3110	0.0103	1.9811	14.926134528243967
023.816	99931.0	1.900000-2.000000	8933.9867	0.0103	0.0013	0.0223	0.0215	7.9313E-4	0.2474	4182218752.0000	13307485.0000	131207501.3333	999.2614	2042.9651	3216.3425	4914.5248	5451.8504	6480.8230	0.0057	1.9723	12.769496975535938
023.816	99931.0	2.000000-2.100000	9733.0840	0.0094	0.0012	0.0257	0.0248	9.2100E-4	0.3255	4946914438.7368	12580796.2105	155760789.8947	1056.9039	1924.9974	3492.8468	3210.3472	7779.4627	9439.2513	0.0064	2.1147	10.860969850046926
023.816	99931.0	2.100000-2.200000	10208.0638	0.0094	0.0015	0.0299	0.0289	9.0286E-4	0.3047	5689612492.8000	13887747.2500	160456748.8000	1107.3405	2092.0873	3572.1214	4774.5196	6490.9641	7597.6779	0.0067	2.0101	9.189103671177788
023.816	99931.0	2.200000-2.300000	11042.9193	0.0086	0.0014	0.0337	0.0327	9.8943E-4	0.3575	6617250048.0000	17210218.0000	185665499.2000	1164.5174	2326.8763	3842.1815	3897.9744	5903.3208	7781.1574	0.0100	2.0406	7.737413794893507
023.816	99931.0	2.300000-2.400000	11694.7151	0.0081	0.0014	0.0365	0.0356	9.5633E-4	0.3682	7415853611.8857	20457646.5714	213304001.3714	1209.5030	2548.6337	4118.5122	6303.3960	6720.1240	7232.2784	0.0058	1.9602	6.486610526922256
023.816	99931.0	2.400000-2.500000	12175.3179	0.0081	0.0016	0.0405	0.0395	0.0010	0.3818	8381916672.0000	23984184.1667	244612501.3333	1259.9222	2756.6957	4411.0253	7364.3752	7663.2835	8378.9691	0.0044	1.9556	5.416237227005959
023.816	99931.0	2.500000-2.600000	12778.9909	0.0080	0.0015	0.0426	0.0416	0.0011	0.4328	9419902610.2857	28768895.1429	268937501.7143	1309.8938	3015.6851	4624.7596	7350.0448	7706.0608	8542.7815	0.0051	1.9441	4.5058308051262275
023.816	99931.0	2.600000-2.700000	13603.0698	0.0074	0.0017	0.0516	0.0505	0.0011	0.4270	10609061647.0588	26375497.0588	301886767.0588	1363.0356	2892.7502	4900.8126	7040.5954	7717.9983	8926.6346	0.0067	1.9710	3.735707044043568
023.816	99931.0	2.700000-2.800000	14144.1842	0.0074	0.0014	0.0552	0.0541	0.0011	0.4662	11890874813.2174	30733976.2609	344275977.7391	1415.8465	3127.1325	5233.5402	7682.6987	7955.4744	8637.9801	0.0053	1.9567	3.0874585475292116
023.816	99931.0	2.800000-2.900000	15295.4459	0.0067	0.0012	0.0593	0.0581	0.0012	0.5101	13560665547.0345	36100683.6552	394492932.4138	1479.2569	3387.6251	5602.5460	8210.9562	8412.1079	9279.9433	0.0047	1.9533	2.544238130532346
023.816	99931.0	2.900000-3.000000	15466.5635	0.0069	0.0011	0.0614	0.0602	0.0012	0.5342	14517676517.0526	39544855.2632	422399603.3684	1513.1439	3541.4025	5796.8654	8368.8799	8654.1963	9329.0576	0.0049	1.9594	2.09088643885632
023.816	99931.0	3.000000-3.100000	16164.1462	0.0066	0.0013	0.0608	0.0596	0.0013	0.5563	15736004864.0000	40152195.0000	456663752.0000	1554.4420	3564.4958	6025.6864	6680.5503	7722.7787	10621.6382	0.0068	1.9914	1.7139501570210611
023.816	99931.0	3.100000-3.200000	16671.9824	0.0065	0.0015	0.0675	0.0662	0.0014	0.5529	17144999936.0000	37488968.0000	477670016.0000	1599.6180	3454.4331	6165.3682	5675.9419	6747.4419	11487.2305	0.0085	2.0081	1.4016265692321717
023.816	99931.0	3.200000-3.300000	17271.0020	0.0065	7.6282E-4	0.0642	0.0628	0.0014	0.6635	19059130368.0000	51944080.0000	553644992.0000	1657.0601	4066.2400	6637.5952	6027.3999	7877.7998	10440.5498	0.0084	1.9257	1.1436614718571474
#Derived Parameters: minimum-levd=0.1 mm
 maximum-levd=3.2180106345779995 mm
 lambda=2725.1217034462607 mm-1
 n-nought-star=2.8060172473119645E13 mm-1 m-3
#PLEASE NOTE: All values are Arithmetic Averages of the values for the sizes in the OpenSSP database.
#Variable Explanations
#D_max: maximum dimension/diameter
#rho_D_max: snow density based on D_max, ice mass of the particle divided by the volume of a sphere with D_max as its diameter
#Q_bk: backscattering efficiency
#Q_ext: extinction efficiency
#Q_sca: scattering efficiency
#Q_abs: absorption efficiency
#g: asymmetry factor
#Prj_Area: orientation-averaged projection area of the particle
#Sfc_Area: surface area of the particle
#r_eq_vol: radius of a sphere having the same volume as the ice mass of the particle
 used to identify particle size in OpenSSP database
#r_eq_prj: radius of a sphere having the same projection area as the orientation-averaged projection area of the particle
#r_eq_sfc: radius of a sphere having the same surface area as that of the particle
#L_lx: length of the shortest axis of a circumscribing ellipsoid of the particle that is parallel to the axis of maximum moment of inertia
#L_ly: length of the intermediate axis of a circumscribing ellipsoid perpendicular to both axes of the maximum and minimum moments of inertia
#L_lz: length of the longest axis of a circumscribing ellipsoid of the particle that is parallel to the axis of minimum moment of inertia
#rho_elps: snow density based on the circumscribing ellipsoid, ice mass of the particle divided by the volume of the circumscribing ellipsoid
#bin_count: number of particles in the bin based on the particle size distributions defined by the given parameters
